 IND	    DX_1	    DX_2	    DX_3	    DX_4	    DY_1	    DY_2	    DY_3	    DY_4	    JEU1	    JEU2	    JEU3	    JEU4	    INT1	    INT2	    INT3	    INT4	      F1	      F2	      F3	      F4	     FIT	      TIME
1091	   0.005	   0.039	  -0.054	   0.038	   0.010	   0.025	   0.024	   0.015	   0.183	   0.185	   0.193	   0.192	   0.043	   0.041	   0.045	   0.048	    7055	    5753	    9427	    6188	    9427	     03:51
1092	   0.004	   0.059	  -0.064	  -0.000	   0.024	  -0.021	  -0.031	  -0.013	   0.186	   0.178	   0.197	   0.184	   0.046	   0.048	   0.052	   0.048	    6969	    5179	    8922	    7146	    8922	     04:24
1093	   0.058	  -0.096	  -0.013	   0.006	  -0.009	  -0.013	  -0.020	   0.055	   0.193	   0.183	   0.189	   0.174	   0.050	   0.042	   0.041	   0.041	    3642	    9422	    7920	    7562	    9422	     03:51
1094	  -0.005	  -0.046	   0.032	   0.038	  -0.049	   0.064	   0.081	   0.005	   0.179	   0.188	   0.170	   0.189	   0.043	   0.043	   0.043	   0.046	    6654	    7286	    7868	    6838	    7868	     03:51
1095	  -0.019	  -0.007	  -0.077	   0.026	  -0.038	   0.047	  -0.012	   0.013	   0.177	   0.187	   0.183	   0.190	   0.043	   0.042	   0.042	   0.040	    7051	    6285	    9648	    5577	    9648	     03:39
1096	  -0.024	  -0.043	   0.073	  -0.065	  -0.139	   0.017	   0.008	  -0.014	   0.200	   0.173	   0.186	   0.178	   0.045	   0.049	   0.050	   0.044	    6790	    7321	    4579	    9889	    9889	     04:03
1097	   0.024	   0.020	  -0.011	  -0.024	  -0.042	  -0.032	  -0.028	   0.074	   0.200	   0.173	   0.185	   0.177	   0.040	   0.049	   0.041	   0.044	    5944	    6937	    7401	    8286	    8286	     03:51
1098	  -0.025	   0.023	  -0.007	   0.010	  -0.056	   0.070	  -0.016	   0.034	   0.178	   0.179	   0.178	   0.201	   0.047	   0.041	   0.054	   0.045	    7825	    5874	    8067	    6686	    8067	     03:41
1099	  -0.073	  -0.007	   0.018	   0.046	  -0.008	   0.003	  -0.006	   0.005	   0.189	   0.176	   0.192	   0.171	   0.043	   0.038	   0.044	   0.049	    7983	    5809	    7386	    7383	    7983	     03:45
1100	   0.009	  -0.032	   0.023	   0.049	  -0.104	   0.083	   0.020	   0.017	   0.193	   0.206	   0.186	   0.190	   0.045	   0.045	   0.042	   0.049	    6951	    7418	    7707	    6597	    7707	     03:47
1101	   0.045	   0.006	   0.040	  -0.125	   0.041	   0.023	  -0.005	  -0.035	   0.177	   0.195	   0.182	   0.188	   0.051	   0.043	   0.040	   0.039	    6023	    6066	    5243	   11109	   11109	     03:51
1102	  -0.052	   0.030	   0.006	  -0.089	   0.035	  -0.093	   0.013	   0.097	   0.190	   0.191	   0.182	   0.184	   0.043	   0.043	   0.039	   0.045	    7850	    5072	    6076	    9876	    9876	     03:41
1103	   0.060	   0.054	   0.007	   0.038	   0.044	   0.073	  -0.020	   0.004	   0.156	   0.181	   0.181	   0.185	   0.050	   0.039	   0.040	   0.049	    6887	    6106	    8386	    7074	    8386	     03:53
1104	  -0.088	  -0.011	  -0.043	   0.075	   0.050	   0.027	  -0.047	  -0.028	   0.189	   0.178	   0.169	   0.171	   0.047	   0.049	   0.048	   0.045	    7817	    5624	    9745	    5235	    9745	     03:45
1105	   0.002	  -0.009	   0.003	  -0.054	   0.016	   0.020	   0.040	   0.073	   0.192	   0.181	   0.161	   0.165	   0.055	   0.049	   0.042	   0.037	    6087	    6623	    6827	    8865	    8865	     04:52
1106	  -0.110	  -0.042	   0.002	  -0.066	  -0.020	   0.022	   0.013	  -0.055	   0.180	   0.153	   0.184	   0.158	   0.039	   0.047	   0.042	   0.036	    7641	    5865	    5724	    9348	    9348	     03:47
1107	   0.025	  -0.068	  -0.099	  -0.014	   0.075	  -0.002	  -0.041	   0.000	   0.176	   0.183	   0.180	   0.157	   0.050	   0.042	   0.041	   0.052	    4845	    7565	    9220	    6755	    9220	     03:35
1108	   0.048	   0.124	  -0.024	  -0.010	   0.065	   0.055	   0.037	  -0.037	   0.178	   0.212	   0.171	   0.187	   0.050	   0.048	   0.046	   0.044	    7787	    3386	    8984	    8243	    8984	     05:11
1109	  -0.034	   0.038	  -0.000	   0.052	  -0.018	  -0.018	   0.044	  -0.052	   0.173	   0.180	   0.181	   0.190	   0.044	   0.044	   0.050	   0.050	    7952	    4873	    8840	    6670	    8840	     05:05
1110	  -0.087	   0.051	   0.025	   0.043	  -0.019	  -0.075	  -0.059	  -0.013	   0.175	   0.190	   0.204	   0.185	   0.052	   0.048	   0.040	   0.044	    9639	    3692	    7325	    7828	    9639	     04:56
1111	   0.036	  -0.029	   0.001	  -0.029	  -0.104	   0.042	   0.075	   0.009	   0.170	   0.161	   0.179	   0.180	   0.043	   0.037	   0.047	   0.039	    5907	    7604	    7261	    8031	    8031	     03:39
1112	  -0.056	  -0.001	  -0.022	  -0.026	   0.015	  -0.001	   0.003	  -0.005	   0.186	   0.194	   0.178	   0.188	   0.046	   0.039	   0.050	   0.046	    7609	    5111	    7881	    7779	    7881	     03:29
1113	   0.049	   0.023	  -0.027	  -0.035	  -0.045	  -0.048	  -0.057	   0.082	   0.168	   0.188	   0.182	   0.175	   0.044	   0.041	   0.041	   0.041	    6356	    6455	    7557	    8350	    8350	     03:49
1114	   0.037	  -0.039	   0.057	   0.065	   0.038	  -0.015	  -0.053	  -0.013	   0.161	   0.190	   0.189	   0.187	   0.049	   0.044	   0.046	   0.048	    5999	    7541	    7724	    7223	    7724	     03:41
1115	  -0.026	   0.027	  -0.020	   0.088	  -0.161	  -0.007	   0.025	   0.020	   0.168	   0.158	   0.173	   0.187	   0.041	   0.040	   0.037	   0.047	    8509	    6128	    9333	    5135	    9333	     05:11
1116	  -0.089	  -0.004	   0.022	  -0.021	   0.009	   0.059	  -0.082	  -0.059	   0.200	   0.190	   0.189	   0.177	   0.051	   0.046	   0.050	   0.042	    8012	    5353	    6591	    8514	    8514	     03:39
1117	   0.042	  -0.011	  -0.019	  -0.033	   0.084	   0.010	   0.011	  -0.101	   0.175	   0.170	   0.164	   0.187	   0.043	   0.048	   0.037	   0.047	    5109	    6843	    8453	    8124	    8453	     03:41
1118	   0.012	   0.036	   0.080	  -0.018	   0.073	  -0.019	  -0.116	  -0.049	   0.184	   0.176	   0.171	   0.182	   0.036	   0.048	   0.042	   0.043	    7080	    5913	    6636	    9197	    9197	     03:43
1119	  -0.020	  -0.028	   0.066	  -0.017	  -0.050	  -0.032	  -0.007	  -0.056	   0.190	   0.178	   0.181	   0.176	   0.049	   0.039	   0.045	   0.047	    6450	    6669	    6059	    9236	    9236	     03:33
1120	  -0.057	  -0.018	   0.032	   0.003	  -0.082	  -0.108	  -0.043	  -0.107	   0.172	   0.181	   0.172	   0.164	   0.044	   0.051	   0.046	   0.042	    7524	    5300	    7027	    8514	    8514	     03:57
1121	   0.028	   0.029	  -0.047	  -0.035	  -0.010	  -0.058	   0.052	   0.014	   0.171	   0.187	   0.173	   0.190	   0.047	   0.041	   0.036	   0.049	    6251	    5700	    8888	    7706	    8888	     03:49
1122	  -0.067	  -0.121	  -0.014	  -0.011	   0.081	   0.040	  -0.032	  -0.009	   0.180	   0.162	   0.185	   0.172	   0.045	   0.039	   0.043	   0.041	    5638	    8252	    7439	    7356	    8252	     03:55
1123	   0.082	   0.019	   0.061	  -0.054	  -0.008	  -0.049	   0.010	   0.009	   0.172	   0.181	   0.194	   0.187	   0.043	   0.042	   0.043	   0.045	    5508	    7025	    5748	   10188	   10188	     03:57
1124	  -0.003	   0.022	  -0.013	  -0.036	  -0.053	   0.010	   0.006	   0.046	   0.168	   0.182	   0.186	   0.191	   0.045	   0.050	   0.044	   0.047	    7471	    5636	    7213	    8063	    8063	     03:37
1125	   0.054	  -0.014	   0.006	   0.022	  -0.028	  -0.008	  -0.000	   0.047	   0.173	   0.185	   0.175	   0.173	   0.045	   0.041	   0.047	   0.039	    5599	    7412	    8011	    7517	    8011	     03:33
1126	  -0.090	  -0.136	  -0.050	  -0.021	  -0.055	  -0.011	   0.075	   0.027	   0.178	   0.167	   0.181	   0.168	   0.044	   0.043	   0.038	   0.045	    6295	    7691	    7626	    7089	    7691	     03:51
