 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
  61	-0.031	 0.002	 0.010	 0.024	 0.002	 0.000	 0.012	-0.001	 0.091	 0.085	 0.063	 0.068	 0.040	 0.048	 0.048	 0.043	  7083	  5890	  8029	  7336	  8029	   03:07
  62	 0.025	 0.011	-0.008	-0.007	-0.018	-0.016	-0.000	-0.016	 0.077	 0.091	 0.086	 0.096	 0.050	 0.043	 0.043	 0.042	  6425	  6156	  8138	  7653	  8138	   03:20
  63	 0.017	-0.019	 0.013	-0.033	 0.004	-0.008	-0.004	 0.014	 0.078	 0.087	 0.087	 0.080	 0.050	 0.050	 0.047	 0.051	  6095	  6726	  6664	  8677	  8677	   03:24
  64	-0.011	-0.016	 0.016	-0.022	-0.015	 0.031	 0.002	 0.012	 0.088	 0.055	 0.077	 0.064	 0.039	 0.051	 0.048	 0.048	  6092	  7344	  6473	  8390	  8390	   03:20
  65	-0.008	 0.007	-0.033	 0.022	-0.034	 0.008	-0.004	-0.001	 0.082	 0.072	 0.083	 0.096	 0.042	 0.039	 0.039	 0.042	  6831	  6581	  8910	  6241	  8910	   03:24
  66	 0.003	-0.020	 0.022	-0.004	-0.003	-0.012	-0.004	-0.010	 0.088	 0.078	 0.066	 0.077	 0.041	 0.042	 0.048	 0.045	  5927	  6986	  7548	  7954	  7954	   03:29
  67	-0.011	-0.032	-0.002	 0.006	 0.043	 0.005	-0.028	-0.001	 0.081	 0.063	 0.075	 0.077	 0.047	 0.047	 0.047	 0.048	  5939	  7361	  7867	  7219	  7867	   03:23
  68	-0.004	 0.003	-0.010	 0.000	-0.008	 0.002	-0.005	-0.033	 0.077	 0.080	 0.073	 0.083	 0.054	 0.047	 0.045	 0.048	  6602	  6057	  8175	  7319	  8175	   03:37
  69	-0.034	-0.011	-0.018	-0.008	-0.009	-0.011	 0.004	 0.009	 0.086	 0.092	 0.083	 0.074	 0.041	 0.038	 0.049	 0.047	  7174	  5770	  7680	  7784	  7784	   03:14
  70	-0.016	-0.017	 0.001	-0.003	 0.010	 0.014	-0.010	 0.005	 0.066	 0.094	 0.074	 0.074	 0.057	 0.040	 0.052	 0.046	  7226	  5791	  7493	  7697	  7697	   03:13
